ldk;codigoperiodo;codigoine;dscautarquia;despesatotal;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital
A_1506;A;1506;MOITA;30284680.18;24497960.8;13950877.3;7039851.35;150702.43;3356529.72;17030.45;263438.86;539830.27;487107.36;1576319.68;2902992.76
A_1604;A;1604;MONÇÃO;14743681.03;9445338.55;4502906.61;3769116.32;140026.48;1033289.14;61774.46;334760.97;169150.69;616351.95;602092.7;3514211.71
A_0809;A;0809;MONCHIQUE;9640372.64;6355639.35;3575672.03;1855953.83;23100.76;900912.73;17000;26788.63;761164.53;422142.13;655907.85;1401730.15
A_1705;A;1705;MONDIM DE BASTO;7220717.9;5052382.57;2644867.64;1776262.67;272548.64;358703.62;72560.05;320837.03;27707.08;91328.12;154114.54;1501788.51
A_1211;A;1211;MONFORTE;5303637.74;4149546.79;2490409.14;1129043.31;57772.08;472322.26;0;132980.33;91.94;72113.32;88807;860098.36
A_1706;A;1706;MONTALEGRE;17123667.02;10629507.83;4230926.32;4017481.85;25451.54;2355648.12;385411.94;883437.85;799378.91;2325498.5;821814.24;1278617.75
A_0706;A;0706;MONTEMOR-O-NOVO;16715338.47;13087759.73;6612634.13;4797112.99;113724.39;1564288.22;36513.38;767259.94;238095.74;419137.7;851530.94;1315041.04
A_0610;A;0610;MONTEMOR-O-VELHO;14600077.59;10454671.92;4083825.15;5095814.15;598500.81;676531.81;0;176927.44;732597.85;611942.63;1180505.36;1443432.39
A_1507;A;1507;MONTIJO;24359531.69;21656751.94;12845214.67;6225981.97;129517.66;2456037.64;103122.68;584274.44;71970.06;275696.5;352037.39;1315678.68
A_0707;A;0707;MORA;5633073.79;4452180.71;2348380.59;1330078.37;21596.45;752125.3;7075.77;44530.16;81157.88;363193.84;295040.52;389894.91
A_1808;A;1808;MORTÁGUA;8250800.43;5881211.39;2540716.57;1873344.55;39495.5;1427654.77;82416.42;66026.11;247029.19;920340.5;301042.98;752733.84
A_0210;A;0210;MOURA;14683245.59;10584420.59;6075346.32;3421205.15;110020.09;977849.03;92088;132082.45;320536.93;935188.19;917775.35;1701154.08
A_0708;A;0708;MOURÃO;5016501.1;4589104.72;3028574.39;1080075.38;210605.53;269849.42;3369.65;0;23196.54;14747.35;70599.89;315482.95
A_1707;A;1707;MURÇA;6564557.38;4776440.47;2360698.61;1890080.47;242456.91;283204.48;0;35841.64;11124.15;291248.36;91816.92;1358085.84
A_0112;A;0112;MURTOSA;6770450.33;3984159.47;1734599.86;1746065.69;9088.28;494405.64;554647.02;146618.26;66308.62;697106.33;1065725.95;255884.68
A_1011;A;1011;NAZARÉ;11532175.97;8741551.02;2960675.14;3351729.05;954601.31;1474545.52;544.83;50020.92;32743.63;58148.91;851305.86;1797860.8
A_1809;A;1809;NELAS;8926564.48;6993934.24;3083930.57;2442844.15;596493.63;870665.89;69085.6;27057.8;65959.67;400776.2;187950.74;1181800.23
A_1212;A;1212;NISA;11405656.63;7043681.95;3993109.12;2216025.77;57665.12;776881.94;397.3;2334160.23;936.25;53049.96;246795.64;1726635.3
A_4202;A;4202;NORDESTE;6928265.61;3609450.18;1505856.15;787776.66;630656.79;685160.58;74968.5;116637.74;85311.96;957909.94;81979.22;2002008.07
A_1012;A;1012;ÓBIDOS;19011752.63;12287864.55;4875956.45;5412817.39;287218.95;1711871.76;335796.81;3649721.38;81799.81;203292.34;774232.3;1679045.44
A_0211;A;0211;ODEMIRA;24943923.57;18980067.74;8046450.04;7064287.09;77941.09;3791389.52;100425;606804.4;208600.45;574956.95;2116621.38;2356447.65
A_1116;A;1116;ODIVELAS;64417081.82;53053916.25;22733103.96;23897825.83;606249.16;5816737.3;4649.75;642818.13;94478.58;791014.47;438396.76;9391807.88
A_1110;A;1110;OEIRAS;108812708;76440474.32;33125802.39;29998859.3;2445694.55;10870118.08;6685101.94;8151368.53;5077078.94;2542440.21;5730912.68;4185331.38
A_0506;A;0506;OLEIROS;8689087.5;5585228.34;2138504.13;2585989.59;30331.07;830403.55;1920;311824.81;53165.12;1310113.06;680704.63;746131.54
A_0810;A;0810;OLHÃO;22898255.34;18963850.79;8197154.95;5523460.58;361546.23;4881689.03;11186;95024.95;251072.84;29621.28;853589.21;2693910.27
A_0113;A;0113;OLIVEIRA DE AZEMÉIS;34867103.5;21923944.97;9835467.31;8432895.54;425560.74;3230021.38;1484059.36;1890593.13;1127978.24;1754391.66;248800.27;6437335.87
A_1810;A;1810;OLIVEIRA DE FRADES;11902053.08;5449039.08;2735117.68;2281031.16;81944.16;350946.08;0;1835757.65;1224577.88;1089705.52;952013.35;1350959.6
A_0114;A;0114;OLIVEIRA DO BAIRRO;17575893.55;9398067.02;4326124.93;3724828.35;140002.04;1207111.7;399220.6;3668026.8;115700.69;1917478.01;333151.23;1744249.2
A_0611;A;0611;OLIVEIRA DO HOSPITAL;13855271.95;10477425.67;3858385.79;4769642.25;57162.79;1792234.84;81352.57;482454.11;455970.43;659941.92;445194.84;1252932.41
A_1421;A;1421;OURÉM;30855590.13;21227201.28;6569236.03;11383378.77;401983.33;2872603.15;266764.77;1126126.74;98185.09;401828.97;945426.96;6790056.32
A_0212;A;0212;OURIQUE;9814566.19;6500035.52;3954630.29;1538356.56;89931.07;917117.6;20268.61;89483.34;44671.24;918108.01;379552.39;1862447.08
A_0115;A;0115;OVAR;25322737.73;18342515.64;7310341.71;7681570.81;131143.6;3219459.52;852382.7;394289.34;41735.67;2153226.93;1404573.54;2134013.91
A_1309;A;1309;PAÇOS DE FERREIRA;23036540.95;16873706.76;6916059.35;6978075.81;982435.42;1997136.18;61297.57;1717683.11;18897.35;1172000.89;896126.49;2296828.78
A_1508;A;1508;PALMELA;38207348.1;33829720.23;17606603.76;13219782.11;478674.15;2524660.21;202970;704278.52;101998.21;922400.1;341088.15;2104892.89
A_0612;A;0612;PAMPILHOSA DA SERRA;10041775.93;7635753.76;2467325.25;3667577.51;1422.93;1499428.07;80105;323615.55;127027.53;757095.07;762290.5;355888.52
A_1310;A;1310;PAREDES;42974068.4;29471255.51;13534117.16;11890153.41;840471.77;3206513.17;136939.15;3637604.07;132530.82;3559568.81;1241958.7;4794211.34
A_1605;A;1605;PAREDES DE COURA;10974018.27;6644771.03;2903982.57;2735159;420979.1;584650.36;0;510911.44;1545471.2;425352.76;141211.06;1706300.78
A_1013;A;1013;PEDRÓGÃO GRANDE;5927543.66;4462771.7;1433592.25;1871427.24;570045.65;587706.56;17250;214608.19;72423.9;306802.12;410614.23;443073.52
A_0613;A;0613;PENACOVA;11865654.09;7333751.36;2613649.08;3643701.05;36203.09;1040198.14;28960.74;864909.24;255568.9;1749438.57;721040.62;911984.66
A_1311;A;1311;PENAFIEL;36608464.45;22550968.29;11104610.02;8298689.73;267001.58;2880666.96;197668.74;4880018.69;1059821.77;3640876.89;1700973.04;2578137.03
A_1811;A;1811;PENALVA DO CASTELO;7726940.58;4900239.58;2250644.36;2032761.15;15696.15;601137.92;53443.12;124359.7;130249.5;1247374.37;542387.26;728887.05
A_0507;A;0507;PENAMACOR;8566190.53;4970191.12;2041740.51;2492522.19;56911.28;379017.14;0;1055841.37;544360.52;303609.72;1045410.62;646777.18
A_1812;A;1812;PENEDONO;6303731.14;3993524.41;1669856.52;1806278.12;0;517389.77;245280.15;220678.99;468494.57;174654.53;997455.87;203642.62
A_0614;A;0614;PENELA;6255825.3;4699641.32;1921622.12;1889586.79;171171.81;717260.6;5130.99;227844.85;34537.62;422518.62;161853.95;704297.95
A_1014;A;1014;PENICHE;15243778.25;13179157.16;6017589.24;5494138.63;115991.64;1551437.65;62382.54;356337.68;13377.88;180546.87;504156.5;947819.62
A_1708;A;1708;PESO DA RÉGUA;15879007.52;9780708.6;4405676.24;4018287.51;384733.75;972011.1;22622.15;2763664.62;246724.26;839542.68;810183.7;1415561.51
A_0910;A;0910;PINHEL;10235894.17;7299518.31;3151436.61;3309048.3;156281.21;682752.19;0;717538.37;101033.85;533553.23;196261.1;1387989.31
A_1015;A;1015;POMBAL;41793896.7;19458176.55;7157915.2;8496997.65;79516;3723747.7;152846.66;2864805.94;9098477.04;3564825.07;3911389.32;2743376.12
A_4203;A;4203;PONTA DELGADA;34015523.36;23706415.72;11843870.82;7694983.58;311053.14;3856508.18;159046.11;3289448.89;752725.22;348560.46;2275842.71;3483484.25
A_3105;A;3105;PONTA DO SOL;4919249.05;3791392.53;1524455.67;1822518.47;10218.11;434200.28;16812.76;70580.16;52120.37;344825.87;69911.57;573605.79
A_1606;A;1606;PONTE DA BARCA;12356572.91;7903407.7;4038596.57;2769084.56;112950.18;982776.39;189287.5;956472.58;95479.29;473691.09;658834.7;2079400.05
A_1607;A;1607;PONTE DE LIMA;23848680.42;18546630.1;7775535.4;7269518.08;6477.93;3495098.69;119260.47;1070389.98;265014.2;240416.33;2086814.16;1520155.18
A_1213;A;1213;PONTE DE SOR;16834109.38;11170347.85;4731167.18;3942844.85;3216.25;2493119.57;284163.73;149110.99;1259790.39;1114140.28;2272443.86;584112.28
A_1214;A;1214;PORTALEGRE;17113501.72;10884258.65;6107774.38;4201909.23;281544.17;293030.87;239949;1123881.56;107623.37;342255.98;686277.76;3729255.4
A_0709;A;0709;PORTEL;8479164.23;7385607.88;3561274.48;2732243.9;39244.49;1052845.01;10853.75;433950.41;95461.41;107087.8;107629.35;338573.63
A_0811;A;0811;PORTIMÃO;44867790.18;33858760.15;14009673.3;6451206.3;4399457.19;8998423.36;281287.4;1118065.52;5251.83;811279.96;1437519.98;7355625.34
A_1312;A;1312;PORTO;154654855.14;120928827.2;56303553.2;46679683.3;2722486.21;15223104.49;2846411.87;2749148.89;610607.55;4495652.53;2430719.58;20593487.52
A_1016;A;1016;PORTO DE MÓS;15574807.45;11555650.75;4610720.29;6036860.3;34459.42;873610.74;271119.57;362019.16;589678.91;1267646.79;658665.57;870026.7
A_3106;A;3106;PORTO MONIZ;3800324.55;3066998.92;1255543.2;1334882.03;50940.98;425632.71;0;2788.92;53394.14;195735.03;150425.84;330981.7
A_3201;A;3201;PORTO SANTO;3699142.65;3287860.55;2122847.69;893387.33;55067.84;216557.69;5164.75;0;1767.42;0;11948.48;392401.45
A_0309;A;0309;PÓVOA DE LANHOSO;13572210.77;9361230.58;3994259.27;3830473.67;201634.15;1334863.49;76000;509298.18;98896.29;721517.82;696383.12;2108884.78
A_1313;A;1313;PÓVOA DE VARZIM;40017777.28;27961839.9;12147203.01;13382694.4;254142.52;2177799.97;659184.16;4619969.09;279702.57;1681679.84;1050052.61;3765349.11
A_4204;A;4204;POVOAÇÃO;6767580.27;3441459.97;2753578.85;480870.11;48754.33;158256.68;54.19;134166.16;174296.57;16388.27;1246912.56;1754302.55
A_4302;A;4302;PRAIA DA VITÓRIA;11004323.75;6150692.03;3431653.52;1331562.21;299073.01;1088403.29;349608.17;133950.99;1699.15;255106.31;432451.93;3680815.17
A_0508;A;0508;PROENÇA-A-NOVA;9027246.07;6675671.21;2671248.78;3101385.11;18183.02;884854.3;15657.41;225925.71;347795.51;157918.75;1102197.36;502080.12
A_0710;A;0710;REDONDO;8326809.63;7162329.71;4030275.11;2318308.97;2244.97;811500.66;25422.65;84375.43;62205.05;458572.34;427246.68;106657.77
A_0711;A;0711;REGUENGOS DE MONSARAZ;13594287.4;10038929.71;4488718.32;3899144.28;253134.3;1397932.81;2504.2;126697.58;173173.84;1605344.6;674970.49;972666.98
A_1813;A;1813;RESENDE;9733499.56;7817510.97;4304553.47;2701896.77;153195.9;657864.83;0;322841.78;131195.01;186843.45;425192.59;849915.76
A_3107;A;3107;RIBEIRA BRAVA;8329661.7;4446623.76;1591993.61;1004122.26;1176059.61;674448.28;0;0;0;2033444.91;401501.34;1448091.69
A_1709;A;1709;RIBEIRA DE PENA;13270886.49;8722640.11;3454321.05;2932552.42;120495.24;2215271.4;131046.96;478950.75;1078409.64;1086934.22;932558.7;840346.11
A_4205;A;4205;RIBEIRA GRANDE;16512609.4;8324363.88;4885592.83;2809837.58;188109.6;440823.87;81794.73;539288.31;746360.21;1484077.14;2506708.31;2830016.82
A_1414;A;1414;RIO MAIOR;19048336.22;12031094.9;5496430.37;4929818.98;192767.29;1412078.26;11437.4;1179183.14;300694.41;1798872.6;427518.66;3299535.11
A_1710;A;1710;SABROSA;7215804.35;5137881.01;2746707.85;2060619.42;20696;309857.74;23388.3;32540.98;181218.21;681034.27;440568.99;719172.59
A_0911;A;0911;SABUGAL;13212265.17;10399712.11;3619839.88;4397731.65;38814.84;2343325.74;27325.44;347884.39;328858.12;846319.73;593345.95;668819.43
A_1415;A;1415;SALVATERRA DE MAGOS;12607065.16;8413835.12;3804343.35;3298353.6;47907.64;1263230.53;275000;2111149.67;47111.05;701617.85;536929.6;521421.87
A_1814;A;1814;SANTA COMBA DÃO;7309316.22;5799542.15;2470269.77;2753510.93;321835.07;253926.38;2113.66;22102.89;55716.95;224388.33;115659.62;1089792.62
A_3108;A;3108;SANTA CRUZ;32234659.05;23204803.84;6514846.65;13400328.5;2952563.53;337065.16;0;198332.6;1053197.35;4841434.36;514351.16;2422539.74
A_4401;A;4401;SANTA CRUZ DA GRACIOSA;4483071.13;2570688.58;1160977.04;792821.95;43649.02;573240.57;149970.14;112224.17;69446.89;1061172.41;258304.05;261264.89
A_4802;A;4802;SANTA CRUZ DAS FLORES;4188648.36;1690562.01;1010373.21;522448.49;6904.77;150835.54;141261.28;1985968.87;10620;41600.2;44898.68;273737.32
A_0109;A;0109;SANTA MARIA DA FEIRA;57422775.55;37232663.94;13831434.41;17205445.1;1433499.17;4762285.26;717256.37;5826325.07;3515587.61;1313617.08;2639073.24;6178252.24
A_1711;A;1711;SANTA MARTA DE PENAGUIÃO;6404621.64;4839103.06;2022436.12;2345282.7;33748.3;437635.94;94981;512329.58;21614.04;189275.04;163761.13;583557.79
A_3109;A;3109;SANTANA;6395436.12;4224198.21;1431385.05;1559761.92;577450.57;655600.67;0;0;0;817551.08;0;1353686.83
A_1416;A;1416;SANTARÉM;47226144.64;34995507.23;13938808.69;12162417.79;2860197.7;6034083.05;127512.59;1908963;68742.5;1809643.77;1391459.69;6924315.86
A_1509;A;1509;SANTIAGO DO CACÉM;23247512.02;19594694.43;9730390.17;8006645.95;155877.64;1701780.67;0;162153.97;236087.75;628496.68;544520.11;2081559.08
A_1314;A;1314;SANTO TIRSO;33692262.65;21878976.73;7960776.45;9461373.23;266850.52;4189976.53;5069.5;3689216.82;868742.08;1968020.15;1970450.12;3311787.25
A_0812;A;0812;SÃO BRÁS DE ALPORTEL;10402130.15;7947741.25;3865344.8;3427984.7;16522.94;637888.81;360774.22;83435.92;48045.81;1034586.28;505401.72;422144.95
A_0116;A;0116;SÃO JOÃO DA MADEIRA;16063848.63;10456804.48;4619676.03;4450419;115514.5;1271194.95;140629.83;724832.44;64484.38;342252.64;2811922.93;1522921.93
A_1815;A;1815;SÃO JOÃO DA PESQUEIRA;10508336.57;6093526.28;1690134.88;3765089.75;52250.22;586051.43;45000;20536.12;19226.1;553758.72;2249537.26;1526752.09
A_1816;A;1816;SÃO PEDRO DO SUL;16536710.83;10823003.13;6319476.81;3128630.28;285865.37;1089030.67;194913.42;1497844.33;110069.86;914126.19;857837.37;2138916.53
A_4603;A;4603;SÃO ROQUE DO PICO;4058980.03;2662740.2;1156061.5;868722.77;15312.03;622643.9;55.49;588.98;253902.72;53587.02;139383.43;948722.19
A_3110;A;3110;SÃO VICENTE;5314665.18;3274602.28;1287078.47;1436052.19;48311.35;503160.27;2400;19812.22;226689.97;570338.98;598621.71;622200.02
A_1417;A;1417;SARDOAL;5745708.59;4750965.43;2762363.12;1517522.2;52090.61;418989.5;183.89;29925.72;16401.53;25032.26;256590.7;666609.06
A_1817;A;1817;SÁTÃO;9592014.64;6014122.77;2966610.16;2459377.55;11212.41;576922.65;0;252983.23;836012.23;638445.27;1024279.08;826172.06
A_0912;A;0912;SEIA;21035263.49;16463651.06;5091082.68;7668278.33;2751125.58;953164.47;51457.44;104146.62;167661.04;246003.96;909396.2;3092947.17
A_1510;A;1510;SEIXAL;108617094.62;71400107.06;32811186.22;33322493.74;3517889.39;1748537.71;135715.71;2379733.28;1084531.66;1398960.07;7155507.93;25062538.91
A_1818;A;1818;SERNANCELHE;7267931.5;5196207.06;1727674.24;3112621.31;15643.14;340268.37;0;101370.81;104770.16;634633.97;829024.94;401924.56
A_0213;A;0213;SERPA;12916616.19;10189616.39;5766849.73;3284445.91;168234.16;970086.59;78988.01;655562.26;156918.52;203592.89;783257.97;848680.15
A_0509;A;0509;SERTÃ;12838463.9;9581019.82;3768608.9;4568470.32;108292.76;1135647.84;306;103900.32;1127161.08;605414.83;297808.24;1122853.61
A_1511;A;1511;SESIMBRA;42964916.35;31117329.92;17414284.9;10639481.48;817913.51;2245650.03;74966.94;689131.48;3814793.03;366225.3;2086311.57;4816158.11
A_1512;A;1512;SETÚBAL;65613319.76;53589296.88;24222935.86;21944676.18;1895453.78;5526231.06;148615.43;1824998.98;1370151.91;1334974.68;2470296.14;4874985.74
A_0117;A;0117;SEVER DO VOUGA;7315382.33;4957220.01;2018710.28;1754540.97;70968.43;1113000.33;66367.21;107920.6;81374.05;639869.3;417465.49;1045165.67
A_0813;A;0813;SILVES;29573983.35;23789487.42;11058613.68;10394889.82;567502.04;1768481.88;18391.15;19113.21;1394117.02;404828.39;837994.38;3110051.78
A_1513;A;1513;SINES;17321709.33;12882703.46;7818280.72;3419306.83;201429.31;1443686.6;10059.22;202718.3;27986.18;1139550.47;405230.42;2653461.28
A_1111;A;1111;SINTRA;122911236.4;105342726.58;45871473.7;33719887.57;1553596.75;24197768.56;268810.36;2490734.17;0;1052537.83;347843.35;13408584.11
A_1112;A;1112;SOBRAL DE MONTE AGRAÇO;7255390.5;6265848.1;2867820.85;2784877.25;92487.9;520662.1;0;64803.27;3234.62;173470.18;212204.2;535830.13
A_0615;A;0615;SOURE;12683186.96;9018701.3;4257423.84;3590452.97;123934.59;1046889.9;44083.13;137820.82;299486.33;1137316.69;509297.51;1536481.18
A_1215;A;1215;SOUSEL;9355489.98;4690249.45;2425904.58;1427621.76;64113.42;772609.69;1595.94;3302197.15;41399.36;89546.99;683332.79;547168.3
A_0616;A;0616;TÁBUA;10218850.61;7595033.69;3373033.29;3042654.8;212652.16;966693.44;3489.97;31352.82;397378.77;385288.52;788778.4;1017528.44
A_1819;A;1819;TABUAÇO;7936395.44;4907690.36;2143316.58;2315845.59;168505.21;280022.98;1800;260091.39;1105630.26;297356.03;229631.26;1134196.14
A_1820;A;1820;TAROUCA;8821708.88;6653951.78;4059843.67;1955647.92;272427.37;366032.82;8226.57;165656.25;48882.68;131062.65;452441.32;1361487.63
A_0814;A;0814;TAVIRA;22688161.59;16899709.7;8722556.75;4919586.15;158843.48;3098723.32;18221.82;182664.64;324794.92;297671.43;844431.07;4120668.01
A_0310;A;0310;TERRAS DE BOURO;9257317.54;7093326.58;3976097.91;2254288.05;26135;836805.62;0;366340.65;235880.91;767531.31;285224.66;509013.43
A_1418;A;1418;TOMAR;23348650.96;16375638.98;8990663.4;5261952.4;191304.79;1931718.39;101073.27;501975.65;66433.55;611657.88;2892183.7;2799687.93
A_1821;A;1821;TONDELA;21582502.18;12956081.03;4665399.56;5085733.85;68886.36;3136061.26;111261.25;729297.48;1340127.41;3092118.9;1131362.51;2222253.6
A_0409;A;0409;TORRE DE MONCORVO;11816528.64;7213516.6;2923999.88;2968819.59;546578.91;774118.22;21048.4;256461.91;279235.37;478490.4;635900.87;2931875.09
A_1419;A;1419;TORRES NOVAS;24441808.33;18111928.41;7847634.98;7390384.66;927590.34;1946318.43;55.03;1266193.8;98612.96;695609.84;884547.41;3384860.88
A_1113;A;1113;TORRES VEDRAS;41464071.74;32484095.01;11593070.59;12188167.11;435136.1;8267721.21;626716.81;393958.23;3333.71;79290.26;2409119.85;5467557.87
A_0913;A;0913;TRANCOSO;10253223.24;6996569.08;2719057.92;2150295.28;447862.65;1679353.23;0;328715.99;261985.98;809195.17;623311.59;1233445.43
A_1318;A;1318;TROFA;31049724.85;23142022.18;5946648.26;5218707.75;2883517.42;9093148.75;218003.64;1179790.51;1026415.55;1261537.75;1508311.89;2714093.33
A_0118;A;0118;VAGOS;12942283.1;8219507.8;3375088.07;3308621.51;335281.2;1200517.02;185000;1307905.47;45506.06;343824.68;702066.4;2138472.69
A_0119;A;0119;VALE DE CAMBRA;14812175.86;9135936.89;4025192.48;3388409.55;201203.23;1521131.63;405789.26;1061726.59;58180.79;1114216.34;566344.33;2469981.66
A_1608;A;1608;VALENÇA;14875136.15;10523313.72;5142254.35;3979781.27;111445.35;1289832.75;38906.65;2351015.1;8972.48;742549.29;599087.27;611291.64
A_1315;A;1315;VALONGO;30705937.35;24508396.35;11335793.3;9719655.48;761753.2;2691194.37;266665.26;532784.58;0;828948.68;298786.33;4270356.15
A_1712;A;1712;VALPAÇOS;15076407.25;10120741.57;4190389.73;4424292.18;452431.46;1053628.2;154519.78;378550.69;360484.76;1516154.96;1064070.28;1481885.21
A_4502;A;4502;VELAS;4439283.77;3012136.1;1581875.25;1132908.19;9331.03;288021.63;0;307020.08;402924.8;88356.51;52918.6;575927.68
A_0712;A;0712;VENDAS NOVAS;8008596.05;6504776.83;3738314.43;2019320.41;278339.44;468802.55;2000;57464.09;13322.95;84362.23;391339.45;955330.5
A_0713;A;0713;VIANA DO ALENTEJO;5972454.49;4843589.95;2315954.39;1873869.16;12580.56;641185.84;0;156571.1;84069.22;180452.81;232359.29;475412.12
A_1609;A;1609;VIANA DO CASTELO;48617065.78;29603357.29;15793296.69;9588171.89;323316.13;3898572.58;1384002.33;2911139.59;102217.34;1013010.92;3005724.14;10597614.17
A_0214;A;0214;VIDIGUEIRA;7384567.6;5144120.6;3273764.61;1363918.85;38446.27;467990.87;0;897080.94;36646.2;2165.69;349074.04;955480.13
A_0311;A;0311;VIEIRA DO MINHO;13189808.26;7650999.29;2860121.45;3223250.4;242904.8;1324722.64;39076.74;2425857.08;0;724204.23;387643.96;1962026.96
A_0510;A;0510;VILA DE REI;4710061.9;3796367.72;1995522.99;1422568.08;33329.74;344946.91;1088.62;70237.22;145275.96;42113.81;378160.5;276818.07
A_0815;A;0815;VILA DO BISPO;12170825.22;9073329.28;3785317.19;3943070.18;322042.91;1022899;551914.61;1436607.49;193782.81;56208.19;580512.25;278470.59
A_1316;A;1316;VILA DO CONDE;42721431.47;33248690.61;15614975.78;12066646.79;2232814.21;3334253.83;305138.68;2394488.83;88451.72;1478827.75;279499.07;4926334.81
A_4101;A;4101;VILA DO PORTO;5585593.79;3520475.33;1782400.93;1345621.03;5944.26;386509.11;46250;20019.13;49978.69;979314.77;396336.44;573219.43
A_0410;A;0410;VILA FLOR;7610318.16;6276552.1;2727219.19;2349374.85;18378.39;1181579.67;4194.39;315062.15;122595.45;285021.01;153827.8;453065.26
A_1114;A;1114;VILA FRANCA DE XIRA;59116730.66;41875875.22;16306625.41;18433819.68;262574.43;6872855.7;180070.72;2206597.64;720307.02;1482216.81;9150551.59;3501111.66
A_4206;A;4206;VILA FRANCA DO CAMPO;9052674.4;5900933.91;2433199.49;1559461.44;1087295.68;820977.3;196500;368611.99;263381.94;480854.26;507073.43;1335318.87
A_1420;A;1420;VILA NOVA DA BARQUINHA;7937937.65;5578622.23;2964764.44;2150349.99;80439.8;383068;4110;811609.31;10751.56;51586.16;534011.19;947247.2
A_1610;A;1610;VILA NOVA DE CERVEIRA;11154782.73;7536070.71;3708671.48;3125250.13;72572.19;629576.91;66542.62;437391.53;558365.86;431234.78;722847.59;1402329.64
A_0312;A;0312;VILA NOVA DE FAMALICÃO;68684935;45319359.3;18039739.09;23005147.29;472774.87;3801698.05;328431.96;2661956.13;1559205.53;6532780.73;623212.34;11659989.01
A_0914;A;0914;VILA NOVA DE FOZ CÔA;10366530.98;8144730.6;2824622.03;3641793.31;80268.68;1598046.58;0;428728.48;43981.08;930942.06;249781.07;568367.69
A_1317;A;1317;VILA NOVA DE GAIA;130861595.6;82842120.25;34354473.74;33891438.07;4394450.05;10201758.39;2098160.09;6588736.06;8641.65;4454836.75;3385498.74;31483602.06
A_1822;A;1822;VILA NOVA DE PAIVA;6170741.77;4313896.19;2274145.57;1649388.66;73852.24;316509.72;40390.32;309565.77;166051.14;506608.51;180004.01;654225.83
A_0617;A;0617;VILA NOVA DE POIARES;6705962.01;5109419.62;2298024.45;1695492.29;858963.34;256939.54;138650.25;97945.36;12543.5;61796.16;55607.13;1229999.99
A_1713;A;1713;VILA POUCA DE AGUIAR;22134564.5;11646689.84;4599417.8;4780958.52;93118.64;2173194.88;423736.86;2194786.68;963648.25;914910.73;5283664.4;707127.74
A_1714;A;1714;VILA REAL;25396814.65;17673700.58;7106534.88;6672377.42;146396.92;3748391.36;658417.98;679843.41;0;1149379.78;1717832.81;3517640.09
A_0816;A;0816;VILA REAL DE SANTO ANTÓNIO;77468550.94;48523302.6;7626750.07;22545788.73;3478128.98;14872634.82;1974614.33;4535606.44;1929189.34;4954655.15;3225178.07;12326005.01
A_0511;A;0511;VILA VELHA DE RÓDÃO;6698223.46;4787139.21;2482743.19;1646685.77;6633.73;651076.52;84250;277182.13;143339.65;415245.53;634606.06;356460.88
A_0313;A;0313;VILA VERDE;26653138;19007060.05;7470339.3;8625720.08;588520.56;2322480.11;52750;3054600.97;375159.8;330713.28;617823.04;3215030.86
A_0714;A;0714;VILA VIÇOSA;7124386.88;5571151.64;2865072.16;1946797.85;190208.71;569072.92;0;192249.4;55527.83;135963.41;336743.07;832751.53
A_0411;A;0411;VIMIOSO;8347942.02;5977068.26;2493172.75;2896926.76;35536.67;551432.08;15000;22601.67;2632.2;163769.01;1657706.34;509164.54
A_0412;A;0412;VINHAIS;11189934.75;8344904.19;3400651.63;3335739.54;38491.86;1570021.16;54630.98;137663.33;340960.95;477842.45;583723;1250209.85
A_1823;A;1823;VISEU;42452176.01;31840114.34;12022679.17;12381933.24;251696.63;7183805.3;613828.38;1713010.7;18582.32;446785.28;1206707.18;6613147.81
A_0314;A;0314;VIZELA;23347965.93;10363187.99;4415154.45;2781924.53;436196.09;2729912.92;50000;7120958;200694.51;3413384.7;747889.46;1451851.27
A_1824;A;1824;VOUZELA;8700987.62;5380440.05;2458339.12;1934636.31;89345.97;898118.65;1568.24;231023.31;3195.19;242026.99;1278368.79;1564365.05
